ID,COLUMN_NAME,RETIRED,DTM
1,Loader_Operator_One,0,14:04.6
2,Loader_Operator_Two,0,14:04.6
3,Shot_Number_One,0,14:04.6
4,Shot_Number_Two,0,14:04.6
5,Loads_15_Ton,0,14:04.6
6,Availability,0,14:04.6
7,Production_Mode,0,14:04.6
8,Runtime,0,14:04.6
9,Start_Time,0,14:04.6
10,Ideal_Rate,0,14:04.6
11,Rate,0,14:04.6
12,Total,0,14:04.6
13,Scheduled_Status,0,14:04.6
14,Performance,0,14:04.6
15,Scheduled_Runtime,0,14:04.6
16,Calcs.Total,0,14:04.6
19,Description,0,14:04.7
20,Produced_Item_Description,0,14:04.7
21,Belt_Scale_Availability,0,14:04.7
24,Produced_Item_Code,0,14:04.7
28,Setpoint,0,14:04.7
33,Yield,0,14:04.7
