ID,SITE_ID,DEPARTMENT_ID,COLUMN_CONFIG_ID,CLASS_ID,ASSET,DISPLAY_NAME,DISPLAY_ORDER,ACTIVE,RETIRED,DTM
1,101,127,12,2,Workcenter,Total Tons,1,1,0,17:53.7
2,101,127,11,2,Workcenter,TPH Fed,2,1,0,17:53.7
3,101,127,15,2,Workcenter,Scheduled Runtime,3,1,0,17:53.7
4,101,127,8,2,Workcenter,Runtime,4,1,0,17:53.7
5,101,127,14,2,Workcenter,Performance,5,1,0,17:53.7
6,101,127,6,2,Workcenter,Availability,6,1,0,17:53.7
7,101,127,24,3,C4,57-2 Item Code,7,1,0,17:53.7
8,101,127,12,3,C4,57-2 Total,8,1,0,17:53.7
9,101,127,24,3,C5,57-1 Item Code,9,1,0,17:53.7
10,101,127,12,3,C5,57-1 Total,10,1,0,17:53.7
11,101,127,24,3,C3,57-2 3/8-5/8 Item Code,11,1,0,17:53.7
12,101,127,12,3,C3,57-2 3/8-5/8 Total,12,1,0,17:53.7
13,101,127,24,3,C6,57-1 3/8-5/8 Item Code,13,1,0,17:53.7
14,101,127,12,3,C6,57-1 3/8-5/8 Total,14,1,0,17:53.7
15,101,127,12,3,C8,Crusher Run Total,15,1,0,17:53.7
16,101,127,12,3,C2,Screenings Total,16,1,0,17:53.7
17,101,127,11,3,C2,Screenings TPH,17,1,0,17:53.7
18,101,127,12,5,A,Combined 57/67 Total,18,1,0,17:53.7
19,101,127,11,5,A,Combined 57/67 TPH,19,1,0,17:53.7
20,101,127,33,5,A,Total 57s Yield,20,1,0,17:53.7
21,101,127,11,6,A,57-2 TPH,21,1,0,17:53.7
22,101,127,33,6,A,57-2 Yield,22,1,0,17:53.7
23,101,127,11,7,A,57-1 TPH,23,1,0,02:47.9
24,101,127,33,7,A,57-1 Yield,24,1,0,02:47.9
25,101,127,12,5,B,CR-57 Total,25,1,0,17:53.7
26,101,127,11,5,B,CR-57 TPH,26,1,0,17:53.7
27,101,127,33,5,B,CR-57 Yield,27,1,0,17:53.7
28,101,127,28,4,Crusher1,Kleemann Setpoint,28,1,0,17:53.7
29,101,127,28,4,Crusher2,1316 HSI Setpoint,29,1,0,17:53.7
30,101,127,5,1,Site,Loads 15 Ton,30,1,0,17:53.7
31,101,130,12,2,Workcenter,Total Ran,1,1,0,11:16.2
32,101,130,12,3,C4,Intake 2 Total,2,1,0,11:16.2
33,101,130,8,3,C4,Intake 2 Runtime,3,1,0,11:16.2
34,101,130,12,3,C5,Intake 1 Total,4,1,0,11:16.2
35,101,130,8,3,C5,Intake 1 Runtime,5,1,0,11:16.2
36,101,130,12,3,C9,Wash Return Total,6,1,0,11:16.2
37,101,130,8,3,C9,Wash Return Runtime,7,1,0,11:16.2
